Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,3229,0,67,95.97473256070757,3.3817607909440994,863.2843466475606,57.43480953855683,54.49795871591012,0.0,67,93,110,130,170,240,600,720,840,860,860
,Aggregated,3229,0,67,95.97473256070757,3.3817607909440994,863.2843466475606,57.43480953855683,54.49795871591012,0.0,67,93,110,130,170,240,600,720,840,860,860
