Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,1694,0,12000.0,9714.784313248934,3.373919054865837,20094.17399112135,78.30814639905549,14.230730222156827,0.0,12000,13000,13000,13000,14000,14000,14000,17000,20000,20000,20000
,Aggregated,1694,0,12000.0,9714.784313248934,3.373919054865837,20094.17399112135,78.30814639905549,14.230730222156827,0.0,12000,13000,13000,13000,14000,14000,14000,17000,20000,20000,20000
