Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,1716,31,12000.0,9568.399835824597,34.23009533435106,13605.35797663033,62.15268065268065,14.40188005034353,0.2601738237532922,12000,12000,13000,13000,13000,13000,13000,13000,14000,14000,14000
,Aggregated,1716,31,12000.0,9568.399835824597,34.23009533435106,13605.35797663033,62.15268065268065,14.40188005034353,0.2601738237532922,12000,12000,13000,13000,13000,13000,13000,13000,14000,14000,14000
