Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,3037,0,9500.0,8995.791185745533,2.6427418924868107,20836.528406944126,57.46163977609483,25.406906682438052,0.0,9500,12000,13000,13000,14000,15000,15000,15000,18000,21000,21000
,Aggregated,3037,0,9500.0,8995.791185745533,2.6427418924868107,20836.528406944126,57.46163977609483,25.406906682438052,0.0,9500,12000,13000,13000,14000,15000,15000,15000,18000,21000,21000
