Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,1908,22,7300.0,12350.901767008438,1031.739584170282,106686.73891015351,41.9643605870021,15.989360826945246,0.18436369926247137,7300,9700,12000,14000,21000,37000,73000,76000,94000,107000,107000
,Aggregated,1908,22,7300.0,12350.901767008438,1031.739584170282,106686.73891015351,41.9643605870021,15.989360826945246,0.18436369926247137,7300,9700,12000,14000,21000,37000,73000,76000,94000,107000,107000
