Timestamp (seconds),Response Time (ms),responseCode
15,145.2343538403511,200
15,188.89615032821894,200
15,397.5270688533783,200
15,613.0303777754307,200
15,804.1527960449457,200
15,1015.3129156678915,200
16,333.4851609542966,200
16,539.6262900903821,200
16,737.6330383121967,200
16,934.5721211284399,200
16,1133.7107922881842,200
16,1330.3523696959019,200
16,1390.315292403102,200
16,1549.5763346552849,200
16,1543.8397256657481,200
17,1555.7641256600618,200
17,1605.506674386561,200
17,1644.5507891476154,200
17,1856.1680493876338,200
17,2050.9065836668015,200
17,2264.4279655069113,200
17,2438.384401611984,200
17,2634.4854179769754,200
17,2812.58490588516,200
17,2688.2677925750613,200
18,2775.849439203739,200
18,2776.68843511492,200
18,2798.0588218197227,200
18,2943.850852549076,200
18,3158.90870988369,200
18,3380.6046061217785,200
18,3591.5274107828736,200
18,3768.266662955284,200
18,3984.640314243734,200
18,4105.645244009793,200
18,4126.574373804033,200
19,4144.468296319246,200
19,4163.836073130369,200
19,4186.832815408707,200
19,4378.225588239729,200
19,4588.523409329355,200
19,4806.940408423543,200
19,5024.104734882712,200
19,5330.984964966774,200
19,5547.95429110527,200
19,5606.863603927195,200
20,5587.023802101612,200
20,5577.0545760169625,200
20,5578.6316422745585,200
20,5656.665246002376,200
20,5877.797527238727,200
20,6101.93635057658,200
20,6330.5786568671465,200
20,6550.624456256628,200
20,6767.722921445966,200
20,6940.43808337301,200
20,6943.3670323342085,200
21,6982.49236214906,200
21,7007.644651457667,200
21,7042.320408858359,200
21,7079.604792408645,200
21,7307.451392523944,200
21,7520.3545447438955,200
21,7738.3699901402,200
21,7956.259610131383,200
21,8173.335780389607,200
21,8370.06521038711,200
21,8305.487803183496,200
22,8324.426800012589,200
22,8317.481135949492,200
22,8330.024898052216,200
22,8490.97210355103,200
22,8704.61745467037,200
22,8928.28322108835,200
22,9143.877251073718,200
22,9362.566431984305,200
22,9582.878314889967,200
22,9653.48038636148,200
22,9654.287619516253,200
23,9691.194566898048,200
23,9740.288857370615,200
23,9744.303624145687,200
23,9975.577027536929,200
23,10193.186087533832,200
23,10422.248248010874,200
23,10643.954331986606,200
23,10868.314632214606,200
23,11091.031201183796,200
23,11082.919219508767,200
24,11085.99787671119,200
24,11086.927984841168,200
24,11088.062828406692,200
24,11199.64900240302,200
24,11415.575384162366,200
24,11638.903829269111,200
24,11857.679346576333,200
24,12075.642624869943,200
24,12296.620825305581,200
24,12400.762800127268,200
24,12378.42721119523,200
25,12384.470944292843,200
25,12388.931213878095,200
25,12389.09325748682,200
25,12303.254576399922,200
26,12304.639225825667,200
26,12300.409429706633,200
26,12317.124049179256,200
26,12321.995876729488,200
27,12337.453990243375,200
27,12355.546502396464,200
27,12349.965648725629,200
27,12350.945155136287,200
27,12342.237401753664,200
28,12342.429112643003,200
28,12343.576700426638,200
28,12343.89429166913,200
28,12344.41224951297,200
29,12347.415524534881,200
29,12345.020136795938,200
29,12369.562006555498,200
29,12350.115336477757,200
29,12345.182719640434,200
30,12346.459926106036,200
30,12349.169194698334,200
30,12350.867397151887,200
30,12356.400587596,200
