Timestamp (seconds),Response Time (ms),responseCode
15,822.6776206865907,200
15,920.5923024564981,200
15,932.7529901638627,200
15,944.4433357566595,200
15,942.1279095113277,200
15,945.537849329412,200
16,790.0853529572487,200
16,1142.6592338830233,200
16,1147.8796601295471,200
16,1205.7862021028996,200
16,1355.9166295453906,200
16,1388.0860777571797,200
17,3715.9066647291183,200
17,3844.1265942528844,200
17,4026.557669043541,200
17,4080.7481855154037,200
17,4098.811727017164,200
17,4165.948568843305,200
17,4183.953175321221,200
17,4214.149059727788,200
17,4252.446423284709,200
17,4307.010930031538,200
17,4389.885882847011,200
17,4403.786378912628,200
18,6602.902543731034,200
18,8100.696700625122,200
18,8109.6759615466,200
18,8131.982473656535,200
18,8160.8482683077455,200
18,8173.343870788813,200
18,8266.362582333386,200
18,8332.373448647559,200
18,8412.374841980636,200
18,8417.333593592048,200
18,8755.209922790527,200
18,8836.362924426794,200
19,10130.482580512762,200
19,10276.21519099921,200
19,10317.787375301123,200
19,10330.090502277017,200
19,10375.542932190001,200
19,10401.158780790865,200
20,11754.26084548235,200
20,11776.33058372885,200
20,11819.473252631724,200
20,11861.2547442317,200
20,11862.101157195866,200
20,11920.134724117815,200
21,12568.210643716156,200
21,12583.792816847563,200
21,12630.587119609118,200
21,12650.915912352502,200
21,12689.291378483176,200
21,12694.812191650271,200
22,12927.846825681627,200
22,13093.723085708916,200
22,13367.549072019756,200
22,13456.434916704893,200
22,13509.779318235815,200
22,13525.033879093826,200
22,13533.244499005377,200
22,13517.543833702803,200
22,13439.042817801237,200
22,13567.32982955873,200
22,13470.810189843178,200
22,13595.593340694904,200
22,13545.243188738823,200
22,13458.082837983966,200
22,13476.075801998377,200
22,13513.805785216391,200
22,13501.603286713362,200
23,13560.802969150245,200
23,13455.576283857226,200
23,13458.284023217857,200
23,13478.211821988225,200
23,13505.432014353573,200
23,13533.618576824665,200
23,13642.494623549283,200
24,13374.008878134191,200
24,13433.151293545961,200
24,13436.92548200488,200
24,13474.604718387127,200
24,13480.265524238348,200
24,13526.768690906465,200
25,13309.25166606903,200
27,13234.855271875858,200
27,13302.51613818109,200
27,13294.988594017923,200
27,13369.18609496206,200
27,13370.798157528043,200
27,13368.803040124476,200
28,13302.802818827331,200
28,13398.272609338164,200
28,13437.196710146964,200
28,13305.860153399408,200
28,13295.765310525894,200
30,13376.720153726637,200
30,13255.654492415488,200
30,13402.834023348987,200
30,13376.73262692988,200
30,13464.27825000137,200
