Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,2694,0,12000.0,10791.749746841015,3.2488619908690453,27055.18246628344,57.45879732739421,22.66635164133715,0.0,12000,13000,15000,16000,18000,19000,20000,20000,24000,27000,27000
,Aggregated,2694,0,12000.0,10791.749746841015,3.2488619908690453,27055.18246628344,57.45879732739421,22.66635164133715,0.0,12000,13000,15000,16000,18000,19000,20000,20000,24000,27000,27000
