Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,1640,34,6800.0,12766.507124686159,977.3193458095193,107634.16995713487,41.579268292682926,14.68581891573993,0.30446209947265707,6800,8600,12000,17000,21000,42000,74000,87000,108000,108000,108000
,Aggregated,1640,34,6800.0,12766.507124686159,977.3193458095193,107634.16995713487,41.579268292682926,14.68581891573993,0.30446209947265707,6800,8600,12000,17000,21000,42000,74000,87000,108000,108000,108000
