Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/matmul,1918,45,7600.0,11006.057159222539,979.8257518559694,103733.44642389566,41.43899895724713,16.11947321613898,0.37819410569669143,7600,9100,12000,13000,19000,32000,52000,70000,94000,104000,104000
,Aggregated,1918,45,7600.0,11006.057159222539,979.8257518559694,103733.44642389566,41.43899895724713,16.11947321613898,0.37819410569669143,7600,9100,12000,13000,19000,32000,52000,70000,94000,104000,104000
